datum,id_night,light,noise,temp,hum
23:54:00,114,975,0,21.7,59.0
23:55:00,114,975,0,21.1,53.0
23:56:00,114,974,0,21.1,52.0
23:57:00,114,964,0,21.0,47.0
23:58:00,114,962,0,20.6,51.0
23:59:00,114,990,0,20.6,52.0
00:00:00,114,991,0,20.6,51.0
00:01:00,114,991,0,20.7,51.0
00:02:00,114,992,0,20.7,52.0
00:03:00,114,991,0,20.7,53.0
00:04:00,114,991,0,20.6,53.0
00:05:00,114,991,0,20.6,54.0
00:06:00,114,991,0,20.6,54.0
00:07:00,114,992,0,20.6,54.0
00:08:00,114,992,0,20.6,54.0
00:09:00,114,992,0,20.6,54.0
00:10:00,114,992,0,20.6,55.0
00:11:00,114,992,0,20.6,55.0
00:12:00,114,992,0,20.6,55.0
00:13:00,114,992,0,20.6,55.0
00:14:00,114,993,0,20.6,55.0
00:15:00,114,993,0,20.6,55.0
00:16:00,114,992,0,20.6,55.0
00:18:00,114,992,0,20.6,55.0
06:46:00,114,993,3,21.9,57.0
06:47:00,114,991,7,21.9,57.0
06:49:00,114,989,3,21.9,57.0
06:50:00,114,988,3,21.9,57.0
06:51:00,114,981,3,21.9,57.0
06:52:00,114,970,1,21.9,57.0
06:53:00,114,966,5,21.9,57.0
06:54:00,114,959,7,21.9,57.0
06:56:00,114,950,2,21.9,57.0
06:57:00,114,944,8,21.9,57.0
06:58:00,114,950,9,21.9,57.0
06:59:00,114,931,6,21.9,56.0
07:00:00,114,929,5,21.9,57.0
07:01:00,114,939,3,21.9,57.0
07:02:00,114,951,2,21.9,57.0
07:03:00,114,954,6,21.9,57.0
07:04:00,114,956,4,21.9,57.0
07:05:00,114,959,4,21.9,57.0
07:06:00,114,963,0,21.9,57.0
07:07:00,114,965,0,21.9,57.0
07:08:00,114,980,4,21.9,57.0
07:09:00,114,969,1,21.9,57.0
07:10:00,114,968,3,21.8,57.0
07:11:00,114,969,2,21.8,57.0
07:12:00,114,972,0,21.8,57.0
07:13:00,114,970,1,21.8,57.0
07:14:00,114,971,3,21.7,57.0
07:15:00,114,971,4,21.7,57.0
07:16:00,114,973,1,21.7,57.0
07:17:00,114,972,6,21.7,57.0
07:18:00,114,973,0,21.7,57.0
07:19:00,114,973,4,21.7,57.0
07:20:00,114,971,3,21.7,57.0
07:21:00,114,971,3,21.7,57.0
07:22:00,114,972,2,21.7,57.0
07:23:00,114,975,1,21.7,57.0
07:24:00,114,977,4,21.6,57.0
07:25:00,114,978,3,21.6,57.0
07:26:00,114,978,1,21.6,57.0
07:27:00,114,977,4,21.6,57.0
07:28:00,114,973,5,21.5,57.0
07:29:00,114,971,3,21.5,58.0
07:30:00,114,967,2,21.5,58.0
07:31:00,114,965,4,21.5,58.0
07:32:00,114,962,0,21.5,58.0
07:33:00,114,955,2,21.5,58.0
07:34:00,114,953,1,21.5,57.0
07:35:00,114,950,0,21.5,58.0
07:36:00,114,948,0,21.5,58.0
07:37:00,114,946,0,21.5,57.0
07:38:00,114,955,0,21.5,58.0
07:39:00,114,938,0,21.5,58.0
07:40:00,114,936,0,21.5,58.0
07:41:00,114,933,0,21.5,58.0
07:42:00,114,928,0,21.5,58.0
07:43:00,114,927,0,21.5,58.0
07:44:00,114,929,2,21.5,58.0
07:45:00,114,929,3,21.5,58.0
07:46:00,114,931,1,21.5,57.0
07:47:00,114,931,6,21.5,58.0
07:48:00,114,928,0,21.4,58.0
07:49:00,114,942,1,21.5,58.0
07:50:00,114,927,4,21.4,58.0
07:51:00,114,922,1,21.4,57.0
07:52:00,114,919,1,21.4,58.0
